pair,entry_date,entry_price,exit_date,exit_price,direction,hours_held,profit_pct,profit_dollars,exit_reason,ladder_hits,capital_after,confidence
USDJPY,2025-10-07 08:00:00+00:00,150.801,2025-10-07 18:00:00+00:00,151.58716499999997,long,10,0.0047279567111623245,0.47281761873813927,target,1,500.47281761873813,0.7730674743652344
USDJPY,2025-10-07 11:00:00+00:00,150.905,2025-10-07 18:00:00+00:00,151.70675999999997,long,7,0.004787806898379669,0.4788060730166829,target,1,500.95162369175483,0.7165453433990479
USDJPY,2025-10-07 14:00:00+00:00,151.186,2025-10-07 20:00:00+00:00,151.96202999999997,long,6,0.004679769290807203,0.46800169336806813,target,1,501.4196253851229,0.815368115901947
USDJPY,2025-10-07 15:00:00+00:00,151.184,2025-10-07 20:00:00+00:00,151.96202999999997,long,5,0.0046877473806750955,0.4687995449012963,target,1,501.8884249300242,0.6809500455856323
USDJPY,2025-10-07 17:00:00+00:00,151.527,2025-10-07 21:00:00+00:00,151.8585,long,4,0.0021877289195985235,0.21878299894403738,trailing_stop,0,502.10720792896825,0.8244132995605469
USDJPY,2025-10-07 16:00:00+00:00,151.337,2025-10-07 22:00:00+00:00,151.792,long,6,0.003403921050371076,0.34040785039318544,trailing_stop,1,502.44761577936146,0.7421010732650757
USDJPY,2025-10-07 23:00:00+00:00,152.066,2025-10-08 03:00:00+00:00,152.4391,long,4,0.002453539910302065,0.24656640573366476,trailing_stop,0,502.69418218509514,0.7320806980133057
AUDUSD,2025-10-07 23:00:00+00:00,0.65795,2025-10-08 03:00:00+00:00,0.656598,short,4,0.0020548673911391746,0.20647067764922244,trailing_stop,0,502.9006528627444,0.8515297174453735
USDCHF,2025-10-08 01:00:00+00:00,0.80011,2025-10-08 08:00:00+00:00,0.801072,long,7,0.001202334678981663,0.12083260996444052,trailing_stop,0,503.02148547270883,0.7814619541168213
EURJPY,2025-10-07 23:00:00+00:00,177.207,2025-10-08 11:00:00+00:00,177.62235,long,12,0.002343869034519053,0.23555422052233368,trailing_stop,0,503.25703969323115,0.6786718368530273
USDJPY,2025-10-08 01:00:00+00:00,152.612,2025-10-08 11:00:00+00:00,152.85965,long,10,0.0016227426414698258,0.16307718283630226,trailing_stop,0,503.4201168760674,0.8394148349761963
EURJPY,2025-10-08 00:00:00+00:00,177.414,2025-10-08 12:00:00+00:00,177.63174999999998,long,12,0.0012273552256304196,0.12334677008997069,trailing_stop,0,503.5434636461574,0.8257461190223694
